scene_id,group,frames,occ_median,v_median,delay_median,jam_share,slow_share,level_median,detour_check,lane_occ_spread_median
Busan_busanportbrdg4_20201029_1430_THU_8m_NH_highway_TW3_sunny_FHD,away,99,0.0281,95.3,0.03,0.0,0.0,원활,False,0.052
Busan_busanportbrdg4_20201029_1430_THU_8m_NH_highway_TW3_sunny_FHD,toward,99,0.0435,92.7,0.047,0.0,0.0,원활,False,0.0164
Busan_busanportbrdg4_20201119_1130_THU_8m_NH_highway_TW3_rainy_FHD,all,114,0.0211,96.5,0.022,0.0,0.0,원활,False,
Busan_busanportbrdg4_20201119_1130_THU_8m_NH_highway_TW3_rainy_FHD,away,114,0.0094,98.4,0.01,0.0,0.0,원활,False,0.0299
Busan_busanportbrdg4_20201119_1130_THU_8m_NH_highway_TW3_rainy_FHD,toward,114,0.0452,92.5,0.049,0.0,0.0,원활,False,0.0275
Busan_busanportbrdg5_20201027_1530_TUE_8m_NH_highway_TW3_sunny_FHD,all,127,0.0401,93.3,0.043,0.0,0.0,원활,False,
Busan_busanportbrdg5_20201027_1530_TUE_8m_NH_highway_TW3_sunny_FHD,away,127,0.038,93.7,0.04,0.0,0.0,원활,False,0.0432
Busan_busanportbrdg5_20201027_1530_TUE_8m_NH_highway_TW3_sunny_FHD,toward,127,0.043,92.8,0.047,0.0,0.0,원활,False,0.0216
Busan_busanportbrdg5_20201029_0930_THU_8m_NH_highway_TW3_sunny_FHD,all,95,0.0448,92.5,0.049,0.0,0.0,원활,False,
Busan_busanportbrdg5_20201029_0930_THU_8m_NH_highway_TW3_sunny_FHD,away,95,0.0332,94.5,0.035,0.0,0.0,원활,False,0.0393
Busan_busanportbrdg5_20201029_0930_THU_8m_NH_highway_TW3_sunny_FHD,toward,95,0.0514,91.4,0.056,0.0,0.0,원활,False,0.0217
Busan_busanportbrdg5_20201029_1430_THU_8m_NH_highway_TW3_sunny_FHD,all,101,0.0431,92.8,0.047,0.0,0.0,원활,False,
Busan_busanportbrdg5_20201029_1430_THU_8m_NH_highway_TW3_sunny_FHD,away,101,0.0386,93.6,0.041,0.0,0.0,원활,False,0.0374
Busan_busanportbrdg5_20201029_1430_THU_8m_NH_highway_TW3_sunny_FHD,toward,101,0.0446,92.6,0.048,0.0,0.0,원활,False,0.0196
Busan_busanportbrdg5_20201119_1100_THU_8m_NH_highway_TW3_rainy_FHD,all,87,0.0232,96.1,0.024,0.0,0.0,원활,False,
Busan_busanportbrdg5_20201119_1100_THU_8m_NH_highway_TW3_rainy_FHD,away,87,0.0352,94.1,0.038,0.0,0.0,원활,False,0.0495
Busan_busanportbrdg5_20201119_1100_THU_8m_NH_highway_TW3_rainy_FHD,toward,87,0.0127,97.9,0.013,0.0,0.0,원활,False,0.0161
Busan_busanportbrdg6_20201027_1500_TUE_8m_NH_highway_TW3_sunny_FHD,all,92,0.0396,93.4,0.0425,0.0,0.0,원활,False,
